ID,简称,全称
000,/jy,惊讶
001,/pz,撇嘴
002,/se,色
003,/fd,发呆
004,/dy,得意
005,/ll,流泪
006,/hx,害羞
007,/bz,闭嘴
008,/shui,睡
009,/dk,大哭
010,/gg,尴尬
011,/fn,发怒
012,/tp,调皮
013,/cy,呲牙
014,/wx,微笑
015,/ng,难过
016,/kuk,酷
018,/zk,抓狂
019,/tuu,吐
020,/tx,偷笑
021,/ka,可爱
022,/baiy,白眼
023,/am,傲慢
024,/jie,饥饿
025,/kun,困
026,/jk,惊恐
027,/lh,流汗
028,/hanx,憨笑
029,/db,悠闲
030,/fendou,奋斗
031,/zhm,咒骂
032,/yiw,疑问
033,/xu,嘘
034,/yun,晕
035,/zhem,折磨
036,/shuai,衰
037,/kl,骷髅
038,/qiao,敲打
039,/zj,再见
041,/fad,发抖
042,/aiq,爱情
043,/tiao,跳跳
046,/zt,猪头
049,/yb,拥抱
053,/dg,蛋糕
054,/shd,闪电
055,/zhd,炸弹
056,/dao,刀
057,/zq,足球
059,/bb,便便
060,/kf,咖啡
061,/fan,饭
063,/mg,玫瑰
064,/dx,凋谢
066,/xin,爱心
067,/xs,心碎
069,/lw,礼物
074,/ty,太阳
075,/yl,月亮
076,/qiang,赞
077,/ruo,踩
078,/ws,握手
079,/shl,胜利
085,/fw,飞吻
086,/ou,怄火
089,/xig,西瓜
096,/lengh,冷汗
097,/ch,擦汗
098,/kb,抠鼻
099,/gz,鼓掌
100,/qd,糗大了
101,/huaix,坏笑
102,/zhh,左哼哼
103,/yhh,右哼哼
104,/hq,哈欠
105,/bs,鄙视
106,/wq,委屈
107,/kk,快哭了
108,/yx,阴险
109,/qq,亲亲
110,/xia,吓
111,/kel,可怜
112,/cd,菜刀
113,/pj,啤酒
114,/lq,篮球
115,/pp,乒乓
116,/sa,示爱
117,/pch,瓢虫
118,/bq,抱拳
119,/gy,勾引
120,/qt,拳头
121,/cj,差劲
122,/aini,爱你
123,/bu,NO
124,/hd,OK
125,/zhq,转圈
126,/kt,磕头
127,/ht,回头
128,/tsh,跳绳
129,/hsh,挥手
130,/jd,激动
131,/jw,街舞
132,/xw,献吻
133,/zuotj,左太极
134,/youtj,右太极
135,/dx,大笑
136,/shx,双喜
137,/bp,鞭炮
138,/dl,灯笼
140,/kg,K歌
144,/hec,喝彩
145,/qidao,祈祷
146,/baojin,爆筋
147,/bangbangt,棒棒糖
148,/hn,喝奶
151,/fj,飞机
158,/cp,钞票
169,/shq,手枪
171,/cha,茶
172,/zyj,眨眼睛
173,/lb,泪奔
174,/wn,无奈
175,/mm,卖萌
176,/xjj,小纠结
177,/px,喷血
178,/xyx,斜眼笑
179,/doge,doge
180,/jx,惊喜
181,/sr,骚扰
182,/xk,笑哭
183,/wzm,我最美
184,/xhx,河蟹
185,/yt,羊驼
187,/youl,幽灵
188,/dan,蛋
190,/jh,菊花
192,/hb,红包
193,/dx,大笑
194,/bkx,不开心
195,/lm,冷漠
198,/ee,呃
199,/haob,好棒
200,/bt,拜托
201,/dz,点赞
202,/wl,无聊
203,/tl,托脸
204,/chi,吃
205,/sh,送花
206,/hp,害怕
207,/hc,花痴
208,/xy,小样儿
210,/bl,飙泪
211,/wbk,我不看
212,/ts,托腮
214,/bobo,啵啵
215,/hulian,糊脸
216,/pt,拍头
217,/cheyiche,扯一扯
218,/tyt,舔一舔
219,/cengyiceng,蹭一蹭
220,/zzt,拽炸天
221,/dgg,顶呱呱
222,/baobao,抱抱
223,/bj,暴击
224,/kq,开枪
225,/lyl,撩一撩
226,/paizhuo,拍桌
227,/ps,拍手
228,/gx,恭喜
229,/ganbei,干杯
230,/cf,嘲讽
231,/heng,哼
232,/fx,佛系
233,/qyq,掐一掐
234,/jingdai,惊呆
235,/chandou,颤抖
236,/kentou,啃头
237,/tk,偷看
238,/sh,扇脸
239,/yuanliang,原谅
240,/pl,喷脸
241,/srkl,生日快乐
242,/tzj,头撞击
243,/st,甩头
244,/rg,扔狗
245,/jiaybs,加油必胜
246,/jybb,加油抱抱
247,/kzht,口罩护体
260,/banzz,搬砖中
261,/mdfq,忙到飞起
262,/nkt,脑壳疼
263,/cs,沧桑
264,/wul,捂脸
265,/lyj,辣眼睛
266,/oy,哦哟
267,/tt,头秃
268,/whl,问号脸
269,/azgc,暗中观察
270,/emm,emm
271,/cg,吃瓜
272,/hhd,呵呵哒
273,/wosl,我酸了
274,/tnl,太南了
277,/ww,汪汪
278,/han,汗
279,/dalian,打脸
280,/jz,击掌
281,/wyx,无眼笑
282,/jl,敬礼
283,/kx,狂笑
284,/mwbq,面无表情
285,/my,摸鱼
286,/mgx,魔鬼笑
287,/cb,哦
288,/gun,请
289,/zy,睁眼
293,/mjl,摸锦鲤
294,/qdqd,期待
295,,拿到红包
297,/bx,拜谢
298,/ybyb,元宝
299,/na,牛啊
300,/psj,胖三斤
301,/hs,好闪
302,,左拜年
303,,右拜年
305,/yqq,右亲亲
306,/nqct,牛气冲天
307,/nzqk,牛转钱坤
311,,打call
312,,变形
314,,仔细分析
317,,菜汪
318,,崇拜
319,,比心
320,,庆祝
324,,吃糖
332,,举牌牌
333,,烟花
334,,虎虎生威
335,,绿马护体
336,,豹富
